feature,gini_importance,perm_importance_mean,perm_importance_std
AP2DC_417,0.0016960957768981971,-0.0005914250500389407,0.0005523073789758814
AP2DC_634,0.0016933630163980212,0.0008475142754123088,0.0004980674098078192
AP2DC_751,0.0016855686772501363,0.0010159614931838034,0.0003515616915104787
AP2DC_112,0.0016818166342727006,-0.0001573234495055642,0.0005449588106978795
AP2DC_697,0.0016782183869692375,-0.00051854096678009,0.0003110757026418137
AP2DC_251,0.00167647460530991,-0.0014200860622572975,0.0010599556119394791
AP2DC_275,0.0016754589372821671,9.282251483827553e-05,0.00023709401921567693
AP2DC_428,0.0016643199759578803,-0.0005788829281050623,0.0003219397888827872
AP2DC_777,0.0016615600964898932,3.495221702578544e-05,0.0005696548771960756
AP2DC_411,0.0016557906762199553,0.0008394298213740159,0.0003288540247279876
AP2DC_680,0.001653386901989458,0.0010360174051002647,0.00029139122897505485
AP2DC_339,0.0016488372280209752,-0.0007723011035211558,0.00031674939988590484
AP2DC_521,0.0016473908488537686,-0.0002240587139266781,0.0001847802023615886
AP2DC_756,0.0016356689041891893,0.00024479636236506285,0.0002014062644563118
AP2DC_724,0.0016295569824689804,0.001740678221995351,0.00038840289857171133
AP2DC_58,0.0016229163027571877,-2.9540462099131306e-06,0.00040404273549907404
AP2DC_63,0.001615728417717039,-0.0005706085276051653,0.00045361678838815706
AP2DC_51,0.001604414162942823,-0.00013534639651298087,0.0003547629327058819
AP2DC_611,0.001596405350547524,-0.0001825255784666302,0.00027634634183288894
AP2DC_500,0.0015915932604804325,-0.00014624096896763693,0.00015148454287280483
AP2DC_739,0.001590756331814668,8.333187344428117e-05,0.0004890214932914478
AP2DC_71,0.0015857267034876676,-0.00040958723959166887,0.0003276567882137945
AP2DC_778,0.001581767888439168,-0.0003036919997045362,0.0002147268850925444
AP2DC_174,0.0015678289386535263,-0.0017716507137400584,0.00043332749087249235
AP2DC_338,0.001561601830473098,-0.0007742059230135933,0.00024939764555183296
AP2DC_505,0.0015495908468194243,-0.0001592067041266909,0.0002672014349150703
AP2DC_50,0.0015433243024416165,0.00025757787169281563,0.00030208934468184444
AP2DC_510,0.0015347178303872847,-0.0004120830131024933,0.00016596696629582762
AP2DC_262,0.0015325326644177355,-0.0001225071410284273,0.00025189874486054154
AP2DC_535,0.0015276236435346154,-0.0007009614909739504,0.0001833812899032965
AP2DC_709,0.001527551469964224,-0.00022937850656955526,0.00022133989915585728
AP2DC_627,0.0015179296934405727,0.0003631341444575886,0.0005943845577686966
AP2DC_696,0.0015118167179054259,-0.0004800996924054779,0.0004128675032114652
AP2DC_375,0.0015072160702205477,0.0003979227952160214,0.00046873926936074516
AP2DC_337,0.0015068191590913904,-0.00040618489436868856,0.0005233735381579537
AP2DC_53,0.0015058402026642986,0.00048359011283480855,0.0002742676890950015
AP2DC_392,0.0014948889560034814,0.00017433875462342653,0.0002192165682059924
AP2DC_635,0.0014932190561343598,0.0006117976959464477,0.00015319922190707412
