Split,Fingerprint,Model,R2_train,RMSE_train,MAE_train,R2_CV,RMSE_CV,MAE_CV,R2_test,RMSE_test,MAE_test,Time_s
Random,EState,Ridge,0.2160033420886257,1.109535069169476,0.8885565114345444,0.20346709732823154,1.1183707190195828,0.8956848045101243,0.23581829140672084,1.131419230936872,0.8993249108227881,0.03274726867675781
Random,EState,Lasso,0.06337300429188175,1.2127387746057987,0.9925351416917556,0.06165686852701613,1.2138492870803865,0.9935586762961869,0.06259480163322872,1.2531091926215014,1.0009493046489877,0.04390287399291992
Random,EState,ElasticNet,0.112743209460058,1.1803439920982388,0.9655428735390207,0.11065821039654011,1.1817300463000315,0.9667420433053476,0.12186837602784395,1.2128442844653382,0.9708634604228653,0.05038166046142578
Random,EState,Bayesian Ridge,0.2156944351853105,1.1097536346977872,0.8899389258297402,0.20460454805337958,1.1175719158295327,0.8966990437966746,0.2353667877293516,1.131753421421082,0.8996720968383777,0.026407957077026367
Random,EState,PLS,0.21600213010311353,1.10953592678787,0.8884996992543325,0.2034730157112693,1.1183665641638536,0.8955750435230883,0.23593620475962307,1.1313319384904363,0.8992850895119252,0.05256056785583496
Random,EState,KNN,0.42835779182485323,0.9474276867227008,0.7127578232706753,0.31101475525816,1.0401330315203796,0.8050688703480868,0.31356372532528987,1.0723223304255698,0.8246585267816211,0.02706623077392578
Random,EState,SVR (RBF),0.4396515750895027,0.9380219597845217,0.6894200635364279,0.3571417523704271,1.0047118810202647,0.7701360642660497,0.37200262175066356,1.0256617329639577,0.7715429666451824,0.29063916206359863
Random,EState,Kernel Ridge (RBF),0.33083886863807577,1.0250599870501438,0.8153739002950577,0.29709428356345957,1.0505880716583624,0.8370944420745066,0.3336894362666575,1.0564856109684817,0.8291306041478564,2.12841534614563
Random,EState,Decision Tree,0.5958298463736587,0.7966472248761277,0.5368059920503109,0.269377962560745,1.0711007210046348,0.8007307879311653,0.3316387816982298,1.058110095715897,0.7992690083027313,0.06274247169494629
Random,EState,Random Forest,0.5795698224217298,0.8125140293442689,0.585986394065432,0.3778973440193727,0.9883595333125302,0.7520308004303607,0.39099835968636765,1.0100304532708753,0.7658015523618873,4.589487552642822
Random,EState,Extra Trees,0.5958298463736587,0.7966472248761278,0.536805992050313,0.27793984660572746,1.0648063135653685,0.7965155298018703,0.34415110238924296,1.0481589175366586,0.7940459432191775,5.661354064941406
Random,EState,Gradient Boosting,0.40688925951037547,0.965054460112505,0.7555381305043003,0.3451078591364256,1.0140720603296258,0.7956800490800713,0.37331727420673544,1.0245876081480116,0.7988389848178221,2.1613621711730957
Random,EState,XGBoost,0.5550913778833633,0.8358326636755762,0.6102973458824619,0.3676003597621851,0.9965055802099052,0.7628434871499246,0.411983441205643,0.992476003973444,0.7557577032867365,1.5509817600250244
Random,EState,Hist Gradient Boosting,0.5372816380063696,0.8523977503340578,0.6370409139730833,0.37675243158293337,0.9892685994844245,0.7588547044838485,0.409432897170355,0.9946261260157138,0.7609901769687323,5.300739049911499
Random,EState,AdaBoost,0.22178991375988466,1.1054328226302639,0.9068877739665294,0.19812264727579953,1.1221163796904907,0.9181903947606714,0.2554116781974112,1.1168204234173924,0.904381290663047,0.28323817253112793
Random,EState,MLP,0.48502404586807546,0.8992436989133942,0.6882570583777956,0.3637420892441976,0.999540798301726,0.7759226118663709,0.39724339657998664,1.0048384052793686,0.7767087198965124,20.809155464172363
Kennard-Stone,MACCS,Ridge,0.42267203333827075,0.9519076271071365,0.7516580575392072,0.37662287615620915,0.9891426746779818,0.7809748888600613,0.19279711870583427,1.1119270382030144,0.877395674461595,0.04861950874328613
Kennard-Stone,MACCS,Lasso,0.10756848978481337,1.1835073425892413,0.9714587299370776,0.10413134981609162,1.1857842518402752,0.9731060363820908,-0.08701582610034575,1.2903361741104522,1.0308715305437635,0.2537360191345215
Kennard-Stone,MACCS,ElasticNet,0.18341628203566984,1.1320975922419836,0.9281490743989381,0.17905909069593529,1.1351139413644835,0.9306398988409993,-0.04939277898383754,1.2678094216751217,1.0017375789432454,0.18859505653381348
Kennard-Stone,MACCS,Bayesian Ridge,0.4157129674773479,0.9576275516592256,0.7601782065919523,0.37725612077775394,0.9886401470694149,0.7854860962692966,0.17842445085681813,1.1217825811110451,0.8822144294226136,0.2223513126373291
Kennard-Stone,MACCS,PLS,0.4125524348286391,0.96021406403085,0.7597377426009031,0.372549165878445,0.9923693883960467,0.7854163717597327,0.18733036779587786,1.1156859265646148,0.8773344290328643,0.12041234970092773
Kennard-Stone,MACCS,KNN,0.6620624552150519,0.7282856132661226,0.5431623536871855,0.48554981053386725,0.8985767438660882,0.677347337744338,0.4130122865669519,0.948198894442465,0.7334786011344963,0.02660393714904785
Kennard-Stone,MACCS,SVR (RBF),0.624994081068414,0.7671893579366463,0.5381702432737953,0.50212030706551,0.883986667961145,0.665006412568489,0.3292061214491465,1.0136300672861451,0.7634666329759561,0.16827106475830078
Kennard-Stone,MACCS,Kernel Ridge (RBF),0.46618587414084245,0.9153317767229341,0.725226124727405,0.41314510044336306,0.9597295701798861,0.762982234099572,0.22924170241989328,1.0865358080686955,0.8487971495356919,4.005711555480957
Kennard-Stone,MACCS,Decision Tree,0.8746517789431125,0.44355001273875677,0.2190508257174924,0.32240587963482203,1.03126035665487,0.753141142660831,0.4525859599444231,0.9156782639249207,0.670421205065472,0.24819731712341309
Kennard-Stone,MACCS,Random Forest,0.8282620800915614,0.5191783906199827,0.36847688297677234,0.5487198387239818,0.8416017494848964,0.6404172693186508,0.47727572662023,0.89479031133672,0.6776904422551953,9.147658109664917
Kennard-Stone,MACCS,Extra Trees,0.8746517789431125,0.44355001273875677,0.21905082571750017,0.3580445468468343,1.0037740289716017,0.7334564105072374,0.45521354400468717,0.9134779953833712,0.669284112333644,27.36102056503296
Kennard-Stone,MACCS,Gradient Boosting,0.6012313655168822,0.791122988068717,0.616723851486957,0.4999901170131751,0.8858757284628828,0.6903920173859251,0.35417500066304064,0.9945860539156942,0.7764969471493696,7.703266143798828
Kennard-Stone,MACCS,XGBoost,0.8161553820527766,0.5371665599504151,0.3733705568070478,0.5606752718209458,0.8303789534510624,0.6279154151202739,0.47535561028044826,0.8964322157842773,0.6764488054041732,1.8705949783325195
Kennard-Stone,MACCS,Hist Gradient Boosting,0.7974213995242638,0.563871691460021,0.40700669007008944,0.5561026124888655,0.8346892171968874,0.633247510777822,0.48174932690168626,0.8909531683556366,0.6784124334740685,9.92273211479187
Kennard-Stone,MACCS,AdaBoost,0.33889214328913764,1.0186375179421137,0.8431681086328804,0.30826274535053755,1.0419673045093902,0.8616138575014969,0.15118171552139503,1.140229577156005,0.9042691687342754,1.026120901107788
Kennard-Stone,MACCS,MLP,0.7659472911591954,0.6060945021560175,0.4298687959866435,0.5091326111883057,0.8777394108918591,0.6707950249296246,0.41668923742187325,0.9452244217735447,0.7088101899667976,22.690458059310913
Kennard-Stone,PubChem,Ridge,0.49663581258968226,0.8888421997945534,0.6934744855014678,0.4128881769810907,0.9599396306756066,0.7472586735605677,0.23007576756978032,1.0859477592884632,0.8396946590290189,0.059535980224609375
Kennard-Stone,PubChem,Lasso,0.15025734152720627,1.1548543623386887,0.949560214796337,0.1475697726703451,1.1566792091453555,0.9509259760165342,-0.09403167400921753,1.2944935386442742,1.0338190733127341,0.2679471969604492
Kennard-Stone,PubChem,ElasticNet,0.24345247132839498,1.089686616946655,0.8948817339108621,0.23893643842433143,1.0929340921474806,0.8976039388178633,-0.023725302415395833,1.2522085301193853,0.9915307937013832,0.3664884567260742
Kennard-Stone,PubChem,Bayesian Ridge,0.4795896239813243,0.9037670054434386,0.7079342438361576,0.4124175900241529,0.9603242631838809,0.7514854228169714,0.21066074518856792,1.099554574887099,0.8511102526869946,0.3993396759033203
Kennard-Stone,PubChem,PLS,0.4503243574535294,0.9288311140888379,0.7260138758618264,0.3899090474947787,0.9785449971249036,0.7617893408273135,0.1810729362629182,1.1199729952103465,0.8640567780040239,0.17960762977600098
Kennard-Stone,PubChem,KNN,0.6791952979588236,0.7095840930066987,0.5272358554057515,0.4842341884584196,0.8997249916237408,0.6790717350238215,0.388743383447956,0.9676019295998494,0.7413400109631731,0.0390927791595459
Kennard-Stone,PubChem,SVR (RBF),0.6396204683163103,0.7520791813341892,0.5226011119891153,0.5169583610104411,0.8707145329894348,0.6491980474264706,0.29709665148508624,1.0376066471772687,0.7678919968512281,0.1955711841583252
Kennard-Stone,PubChem,Kernel Ridge (RBF),0.48312502187884965,0.9006919119966119,0.7083923562089222,0.42423503651106387,0.9506182014266581,0.749542717460037,0.19819640587641318,1.10820202270925,0.85268546154537,2.69295072555542
Kennard-Stone,PubChem,Decision Tree,0.899236228897565,0.3976817992020391,0.18307542188251064,0.34644491192725435,1.012802136191637,0.733058584446449,0.4681406621239076,0.9025750694689098,0.6679155400172788,0.3426527976989746
