molecule_chembl_id,pchembl_value,activity_class
CHEMBL309113,6.85,Active
CHEMBL174909,7.206666666666667,Active
CHEMBL1098737,6.96,Active
CHEMBL574960,5.01,Intermediate
CHEMBL24593,5.62,Intermediate
CHEMBL3422043,6.15,Intermediate
CHEMBL325346,7.41,Active
CHEMBL176101,5.25,Intermediate
CHEMBL1825035,5.38,Intermediate
CHEMBL3245350,7.16,Active
CHEMBL5268836,5.25,Intermediate
CHEMBL5268139,7.0,Active
CHEMBL5273646,5.17,Intermediate
CHEMBL5425965,5.09,Intermediate
CHEMBL3752674,5.39,Intermediate
CHEMBL3964421,5.0,Intermediate
CHEMBL3623232,9.7,Active
CHEMBL5278365,4.36,Inactive
CHEMBL5275448,5.33,Intermediate
CHEMBL375046,6.775,Active
CHEMBL386630,6.22,Intermediate
CHEMBL1093458,5.215,Intermediate
CHEMBL317935,4.89,Inactive
CHEMBL5270023,8.0,Active
CHEMBL491215,5.82,Intermediate
CHEMBL3754366,5.75,Intermediate
CHEMBL5440707,5.62,Intermediate
CHEMBL276915,6.64,Active
CHEMBL5285526,5.43,Intermediate
CHEMBL5267859,4.03,Inactive
CHEMBL4162907,5.06,Intermediate
CHEMBL3753191,4.96,Inactive
CHEMBL5398997,8.42,Active
CHEMBL5564449,5.67,Intermediate
CHEMBL5421164,5.44,Intermediate
CHEMBL9298,9.285,Active
CHEMBL5266298,5.44,Intermediate
CHEMBL5186519,8.7,Active
CHEMBL5397670,8.96,Active
CHEMBL346234,7.75,Active
CHEMBL5291085,7.0,Active
CHEMBL284238,6.14,Intermediate
CHEMBL3752276,8.47,Active
CHEMBL5400554,5.61,Intermediate
CHEMBL66775,5.51,Intermediate
CHEMBL5275933,5.15,Intermediate
CHEMBL5413133,4.6,Inactive
CHEMBL5280921,7.21,Active
CHEMBL29400,6.46,Intermediate
CHEMBL206550,5.75,Intermediate
CHEMBL3754543,4.17,Inactive
CHEMBL308829,5.01,Intermediate
CHEMBL5285898,6.27,Intermediate
CHEMBL102884,6.51,Active
CHEMBL313774,5.52,Intermediate
CHEMBL2312953,6.98,Active
CHEMBL179222,5.4350000000000005,Intermediate
CHEMBL5284015,5.96,Intermediate
CHEMBL2336852,6.95,Active
CHEMBL1824758,4.71,Inactive
CHEMBL2333332,6.08,Intermediate
CHEMBL1094427,7.07,Active
CHEMBL2179112,6.74,Active
CHEMBL1824761,4.89,Inactive
CHEMBL308537,7.92,Active
CHEMBL24279,5.03,Intermediate
CHEMBL5402090,8.89,Active
CHEMBL1083653,7.93,Active
CHEMBL337750,6.19,Intermediate
CHEMBL5393946,6.38,Intermediate
CHEMBL163922,5.43,Intermediate
CHEMBL72228,7.75,Active
CHEMBL431859,6.62,Active
CHEMBL8313,7.27,Active
CHEMBL5270259,5.2,Intermediate
CHEMBL3422029,5.99,Intermediate
CHEMBL3245353,7.21,Active
CHEMBL5290960,6.685,Active
CHEMBL135381,8.19,Active
CHEMBL5284435,4.55,Inactive
CHEMBL5270108,5.34,Intermediate
CHEMBL5437945,5.3,Intermediate
CHEMBL3421779,6.78,Active
