molecule_chembl_id,CDKGraph_41,CDKGraph_104,CDKGraph_189,CDKGraph_264,CDKGraph_303,CDKGraph_497,CDKGraph_806,CDKGraph_977,CDKGraph_1017
CHEMBL164543,1,1,1,1,1,1,1,1,1
CHEMBL164746,1,1,1,1,1,1,1,1,1
CHEMBL164821,1,1,1,1,1,1,1,1,1
CHEMBL164993,1,1,1,1,1,1,1,1,1
CHEMBL165,0,0,0,0,0,0,0,0,0
CHEMBL165,0,0,0,0,0,0,0,0,0
CHEMBL1650709,0,0,0,0,0,0,0,0,0
CHEMBL1650711,0,0,0,0,0,0,0,0,0
CHEMBL165106,1,1,1,1,1,1,1,1,1
CHEMBL165218,1,1,1,1,1,1,1,1,1
CHEMBL165279,1,1,1,1,1,1,1,1,1
CHEMBL165342,1,1,1,1,1,1,1,1,1
CHEMBL165552,1,1,1,1,1,1,1,1,1
CHEMBL165925,1,1,1,1,1,1,1,1,1
CHEMBL166017,1,1,1,1,1,1,1,1,1
CHEMBL166032,1,1,1,1,1,1,1,1,1
CHEMBL166060,1,1,1,1,1,1,1,1,1
CHEMBL166079,1,1,1,1,1,1,1,1,1
CHEMBL166148,1,1,1,1,1,1,1,1,1
CHEMBL166709,0,0,0,1,0,0,0,0,0
CHEMBL166789,0,0,0,1,0,0,1,0,0
CHEMBL1668326,0,0,0,1,1,1,1,0,0
CHEMBL1668327,0,0,0,1,0,0,0,0,0
CHEMBL1668328,0,0,0,1,0,0,0,0,0
CHEMBL1668329,0,0,0,1,1,1,1,0,0
CHEMBL166974,0,0,0,1,1,0,0,0,0
CHEMBL1672974,0,1,0,1,1,0,0,1,0
CHEMBL1672975,0,1,0,1,1,0,0,1,0
CHEMBL1672976,0,1,0,1,1,0,0,1,0
CHEMBL1672977,0,1,0,1,1,0,0,1,0
CHEMBL1672978,0,1,0,1,1,0,0,1,0
CHEMBL1672979,0,1,0,1,1,0,0,1,0
CHEMBL1672980,0,1,0,1,1,0,0,1,0
CHEMBL1672981,0,1,0,1,1,0,0,1,0
CHEMBL1672982,0,1,0,1,1,0,0,1,0
CHEMBL16782,0,0,0,1,0,0,0,0,0
CHEMBL168434,0,0,0,1,1,0,0,0,0
CHEMBL168444,0,0,0,1,0,0,0,0,0
CHEMBL168636,0,0,0,1,0,0,0,0,0
CHEMBL168700,0,0,0,1,0,0,1,0,0
CHEMBL168762,0,0,0,1,0,0,0,0,0
CHEMBL1688890,0,0,0,1,1,0,0,0,0
CHEMBL1688891,0,0,0,1,1,0,0,0,0
CHEMBL1688892,0,0,0,1,1,0,0,1,1
CHEMBL1688893,0,0,0,1,1,0,0,0,0
CHEMBL1688894,0,1,0,1,1,0,0,1,0
CHEMBL1688895,0,0,0,1,1,0,0,0,0
CHEMBL1688896,0,0,0,1,1,0,0,0,0
CHEMBL1688897,0,0,0,1,1,0,0,0,0
CHEMBL1688898,0,0,0,1,1,0,0,0,0
CHEMBL1688899,0,1,0,1,1,0,0,1,0
CHEMBL1688900,0,0,0,1,1,0,0,0,0
CHEMBL1688901,0,0,0,1,1,0,0,0,0
CHEMBL1688902,0,0,0,1,1,0,0,0,0
CHEMBL1688903,0,0,0,1,1,0,0,0,0
CHEMBL1688904,0,0,0,1,1,0,0,0,0
CHEMBL1688905,0,0,0,1,1,0,0,0,0
CHEMBL1688906,0,0,0,1,1,0,0,0,0
CHEMBL1688907,0,0,0,1,1,0,0,0,0
CHEMBL1688908,0,0,0,1,1,0,0,0,0
CHEMBL1688909,0,0,0,1,1,0,0,0,0
CHEMBL1688910,0,0,0,1,1,0,0,0,0
CHEMBL1688911,0,0,0,1,1,0,0,0,0
CHEMBL1688912,0,0,0,1,1,0,0,0,0
CHEMBL1688913,0,0,0,1,1,0,0,0,0
CHEMBL1688914,0,0,0,1,1,0,0,0,0
CHEMBL1688915,0,0,0,1,1,0,0,0,0
CHEMBL1688916,0,0,0,1,1,0,0,0,0
CHEMBL1688917,0,0,0,1,1,0,0,0,0
CHEMBL1688918,0,0,0,1,1,0,0,0,0
CHEMBL1688919,0,0,0,1,1,0,0,0,0
CHEMBL1689257,1,1,1,1,1,1,1,1,1
CHEMBL1689258,1,1,1,1,1,1,1,1,1
CHEMBL1689259,1,1,1,1,1,1,1,1,1
