molecule_chembl_id,SubFPC_0,SubFPC_1,SubFPC_2,SubFPC_3,SubFPC_4,SubFPC_11,SubFPC_13,SubFPC_17,SubFPC_22,SubFPC_48,SubFPC_84,SubFPC_87,SubFPC_132,SubFPC_134,SubFPC_136,SubFPC_168,SubFPC_170,SubFPC_171,SubFPC_176,SubFPC_178,SubFPC_179,SubFPC_180,SubFPC_181,SubFPC_183,SubFPC_210,SubFPC_213,SubFPC_273,SubFPC_274,SubFPC_278,SubFPC_286,SubFPC_287,SubFPC_288,SubFPC_289,SubFPC_294,SubFPC_295,SubFPC_296,SubFPC_297,SubFPC_299,SubFPC_300,SubFPC_301,SubFPC_302,SubFPC_304,SubFPC_306
CHEMBL112509,1,6,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,0,0,4,0,0,11
CHEMBL112532,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,11,2,0,0,0,0,0,7,0,0,0,0,0,5,0,0,10
CHEMBL112908,2,6,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,0,0,4,0,0,11
CHEMBL113082,2,8,4,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,2,1,1,1,2,10
CHEMBL113082,2,8,4,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,2,1,1,1,2,10
CHEMBL113121,2,8,4,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,2,1,1,1,2,10
CHEMBL113121,2,8,4,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,2,1,1,1,2,10
CHEMBL113242,0,6,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,0,1,4,0,0,10
CHEMBL113637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,3,0,0,20,3,1,0,0,0,0,8,0,0,0,0,1,4,0,0,20
CHEMBL113647,0,6,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,0,0,4,0,0,10
CHEMBL113739,1,8,5,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,2,1,1,1,2,10
CHEMBL113739,1,8,5,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,2,1,1,1,2,10
CHEMBL114019,1,6,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,2,1,4,0,0,12
CHEMBL114447,0,6,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,5,0,0,0,2,1,4,0,0,11
CHEMBL115452,2,1,0,0,2,0,0,0,0,1,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,1,1,5,0,0,0,1,1,5,1,0,17
CHEMBL115899,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,14,3,1,0,0,0,0,8,0,0,0,0,1,3,0,0,13
CHEMBL1162951,2,2,0,0,1,0,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,12,1,1,2,0,0,0,5,0,0,0,1,0,4,0,1,16
CHEMBL1165711,0,0,1,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,12,1,1,2,0,0,0,5,0,0,0,1,0,2,0,1,14
CHEMBL116794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,14,3,1,0,0,0,0,7,0,0,0,0,1,2,0,0,13
